fullName,phone,email,age,experience,yearlyIncome,hasChildren,licenseStates,expirationDate,licenseNumber
Mr Vicente Diaz, 11697316204  ,  arttu.erkkila@example.com,66,27,52.65748,true,Montna,2021/12/12,shdfu344
Mr Nicolas Pelletier,  1697316204,milo.bru@example  .com,21,77,208535,1kid,Washington | Connecticut | Wyoming ,05/28/2038,345hlh
Mrs Noelia Mendez,1338754358  ,ortrud.hoff@example.com  ,10,52,,,  LA| New York ,2010-12-25,  345KHu
Mr Bram Beuker,53106641503,ozsu.keseroglu@example.com,53,35,"2535333.457",false,Wyoming,2025-11-01,453li3
Mrs Iolene Barros,57220341730,isla.kari@example.com,39,62,two hundred phousand,two kids,  Connecticut,07/15/2017,lih35l
Mr Benjamin Johansen,061-47415551,clara.christiansen@example.com,18,37,23450,true,Minnesota,3/5/2015,li2h3i
Mr Thorvald Kjeldsen,2235971256,jennie.perry@example.com,65,39,"34,560",false,Oregon,  ,h3ukuh
Mr Nathan Adam,+11697316204 ,sarah.knight@example.com,61,77,2345,,Vermont,2/2/2010,ku44u4k
Miss Reinhild Oehler, (812)-608-6074,elias.thomsen@example.com,69,62,23542,false,Nevada,010-03-05,4u4hk4u
Ms Nanna Larsen,11697316204,ortrud.hoff@example.com,50,70,24524356,,Illinois,4/8/2019,4hu4k4
Mr Vernon Moreno,362)-791-7785,verissimo.moura@example.com,76,75,2345,false,Arizona,6/23/2012,4hhd-g
Miss Lumi Manner,3570256575,marlene.hindenes@example.com,51,77,"23564,23",,Washington,12/4/2006,gjdli4
Ms Victoria Butler,(578)-188-9236,juana.nieto@example.com,60,52,"2345245,34",true,Idaho,002-11-05,gdlight
Mr Miguel Diez,027-07704299,beatrice.hoff@example.com,36,73,"2345324,4",,Colorado,3/2/2008,sdirh4
Miss Franciele das Neves,9971234648,ortrud.hoff@example.com,23,36,43574,true,Arkansas,2006-03,sdih44
Mrs Sophia Armstrong, 051-398-0990,mariana.frisch@example.com,63,76,955745,true,Kansas,9/2/2016,sdgihri4
Miss Olena Schell,17581219498,mikael.keranen@example.com,62,34,45678,true,Colorado,2/16/2016,gldifhg4
Monsieur Jules Simon,19291246532,mhn.qsmy@example.com,24,63,446783,false,Vermont, 2011-03-23,gldfi4
Ms Scarlett Walker,3751-4172,mila.deschamps@example.com,59,68,34677856,false,Mississippi, 2016-05,gdli4gd
Mr Roger Boyd,04-14-46-59-75,samuel.harju@example.com,15,46,34563,false,Colorado,   2012-09-06  ,dfli49
